시트,분류1,분류2,한글명,태그,NSFW,비고
태그기본,작화,스타일,웹툰,"Webtoon, Korea_Webtoon",FALSE,
태그기본,작화,스타일,애니메이션,"animation, Japanese_animation",FALSE,
태그기본,작화,스타일,에로 만화,eromanga,FALSE,
태그기본,작화,스타일,패러디,fine_art_parody={},FALSE,
태그기본,작화,스타일,픽시브,pixiv,FALSE,
태그기본,작화,스타일,패러디,style_parody={},FALSE,
태그기본,작화,화풍,게임,CG_game_cg,FALSE,
태그기본,작화,화풍,미국풍 실사체,"Cartoon_realistic, Cartoon_photorealistic",FALSE,
태그기본,작화,화풍,애니메이션,"anime_art_style, anime_screencap",FALSE,
태그기본,작화,화풍,미소녀,"bishoujo, mishoujo",FALSE,
태그기본,작화,화풍,가짜 손 그림,faux_traditional_media,FALSE,
태그기본,작화,화풍,선이 명확한,ligne_claire,FALSE,
태그기본,작화,화풍,일본풍 실사체,"manga_realistic, manga_photorealistic",FALSE,
태그기본,작화,화풍,픽셀,pixel_art,FALSE,
태그기본,작화,화풍,실사체,realistic,FALSE,
태그기본,작화,화풍,빈실사체,semi_realistic,FALSE,
태그기본,작화,화풍,스케치,sketch,FALSE,
태그기본,작화,화풍,손 그림,traditional_media,FALSE,
태그기본,작화,화풍,러프,unfinished,FALSE,
태그기본,장소,가게,무기창고,armory,FALSE,
태그기본,장소,가게,빵집,bakery,FALSE,
태그기본,장소,가게,서점,bookstore,FALSE,
태그기본,장소,가게,카페,cafe,FALSE,
태그기본,장소,가게,구내식당,cafeteria,FALSE,
태그기본,장소,가게,옷장,closet,FALSE,
태그기본,장소,가게,편의점,convenience_store,FALSE,
태그기본,장소,가게,식당,dining_room,FALSE,
태그기본,장소,가게,꽃집,flower_shop,FALSE,
태그기본,장소,가게,시장,market,FALSE,
태그기본,장소,가게,시장,market_stall,FALSE,
태그기본,장소,가게,야외,pharmacy,FALSE,
태그기본,장소,가게,레스토랑,restaurant,FALSE,
태그기본,장소,가게,샬롱,salon,FALSE,
태그기본,장소,가게,성인 도구가게,sex_shop,FALSE,
태그기본,장소,가게,가게,shop,FALSE,
태그기본,장소,가게,창고,storage_room,FALSE,
태그기본,장소,가게,슈퍼 마켓,supermarket,FALSE,
태그기본,장소,가게,무기상점,weapon_shop,FALSE,
태그기본,장소,가정,아파트,apartment,FALSE,
태그기본,장소,가정,화장실,bathroom,FALSE,
태그기본,장소,가정,욕조,bathtub,FALSE,
태그기본,장소,가정,침실,bedroom,FALSE,
태그기본,장소,가정,탈의실,changing_room,FALSE,
태그기본,장소,가정,옷장,closet,FALSE,
태그기본,장소,가정,탈의실,dressing_room,FALSE,
태그기본,장소,가정,피팅룸,fitting_room,FALSE,
태그기본,장소,가정,집,house,FALSE,
태그기본,장소,가정,오두막,hut,FALSE,
태그기본,장소,가정,주방,kitchen,FALSE,
태그기본,장소,가정,거실,living_room,FALSE,
태그기본,장소,가정,지저분한방,messy_room,FALSE,
태그기본,장소,가정,오타쿠방,otaku_room,FALSE,
태그기본,장소,가정,오두막집,shack,FALSE,
태그기본,장소,가정,샤워실,shower,FALSE,
태그기본,장소,가정,물 위의 집,stilt_house,FALSE,
태그기본,장소,가정,칸막이화장실,toilet_stall,FALSE,
태그기본,장소,가정,나무 위의집,treehouse,FALSE,
태그기본,장소,건축물,수로,aqueduct,FALSE,
태그기본,장소,건축물,종탑,bell_tower,FALSE,
태그기본,장소,건축물,시계탑,clock_tower,FALSE,
태그기본,장소,건축물,댐,dam,FALSE,
태그기본,장소,건축물,둑,dock,FALSE,
태그기본,장소,건축물,분수,fountain,FALSE,
태그기본,장소,건축물,경비탑,guard_tower,FALSE,
태그기본,장소,건축물,등대,lighthouse,FALSE,
태그기본,장소,건축물,거대 구조물,megastructure,FALSE,
태그기본,장소,건축물,탑,pagoda,FALSE,
태그기본,장소,건축물,마천루,skyscraper,FALSE,
태그기본,장소,건축물,우주 엘리베이터,space_elevator,FALSE,
태그기본,장소,건축물,탑,tower,FALSE,
태그기본,장소,국가,미국,America,FALSE,
태그기본,장소,국가,아르헨티나,Argentina,FALSE,
태그기본,장소,국가,아시아,Asia,FALSE,
태그기본,장소,국가,벨라루스,Belarus,FALSE,
태그기본,장소,국가,벨기에,Belgium,FALSE,
태그기본,장소,국가,브라질,Brazil,FALSE,
태그기본,장소,국가,영국,Briton,FALSE,
태그기본,장소,국가,불가리아,Bulgaria,FALSE,
태그기본,장소,국가,캐나다,Canada,FALSE,
태그기본,장소,국가,칠레,Chile,FALSE,
태그기본,장소,국가,중국,China,FALSE,
태그기본,장소,국가,콜롬비아,Colombia,FALSE,
태그기본,장소,국가,덴마크,Denmark,FALSE,
태그기본,장소,국가,핀란드,Finland,FALSE,
태그기본,장소,국가,프랑스,France,FALSE,
태그기본,장소,국가,그리스,Greece,FALSE,
태그기본,장소,국가,홍콩,Hong_Kong,FALSE,
태그기본,장소,국가,아이슬란드,Iceland,FALSE,
태그기본,장소,국가,아일랜드,Ireland,FALSE,
태그기본,장소,국가,이탈리아,Italy,FALSE,
태그기본,장소,국가,일본,Japan,FALSE,
태그기본,장소,국가,한국,Korea,FALSE,
태그기본,장소,국가,멕시코,Mexico,FALSE,
태그기본,장소,국가,모나코,Monaco,FALSE,
태그기본,장소,국가,몽골,Mongolia,FALSE,
태그기본,장소,국가,네덜란드,Netherlands,FALSE,
태그기본,장소,국가,북한,North_Korea,FALSE,
태그기본,장소,국가,노르웨이,Norway,FALSE,
태그기본,장소,국가,파라과이,Paraguay,FALSE,
태그기본,장소,국가,포르투갈,Portugal,FALSE,
태그기본,장소,국가,루마니아,Romania,FALSE,
태그기본,장소,국가,러시아,Russia,FALSE,
태그기본,장소,국가,스페인,Spain,FALSE,
태그기본,장소,국가,스웨덴,Sweden,FALSE,
